,experiment,d,repetitions,m,n,approx_type,kernel_type,l_minus_l_plus,function_type,perturbation_or_Qi,power
51,1: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,"(-2, 2)",decreasing,4,0.06
52,1: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,"(-2, 2)",centred,1,1.0
53,1: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,"(-2, 2)",centred,2,0.978
54,1: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,"(-2, 2)",centred,3,0.302
55,1: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,"(-2, 2)",centred,4,0.016
56,1: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,"(-2, 2)",ost,1,0.616
57,1: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,"(-2, 2)",ost,2,0.08
58,1: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,"(-2, 2)",ost,3,0.072
59,1: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,"(-2, 2)",ost,4,0.046
60,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,gaussian,"(-6, -2)",uniform,1,1.0
61,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,gaussian,"(-6, -2)",uniform,2,0.71
62,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,gaussian,"(-6, -2)",uniform,3,0.004
63,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,gaussian,"(-6, -2)",increasing,1,1.0
64,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,gaussian,"(-6, -2)",increasing,2,0.814
65,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,gaussian,"(-6, -2)",increasing,3,0.008
66,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,gaussian,"(-6, -2)",decreasing,1,1.0
67,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,gaussian,"(-6, -2)",decreasing,2,0.62
68,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,gaussian,"(-6, -2)",decreasing,3,0.0
69,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,gaussian,"(-6, -2)",centred,1,1.0
70,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,gaussian,"(-6, -2)",centred,2,0.694
71,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,gaussian,"(-6, -2)",centred,3,0.0
72,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,gaussian,"(-6, -2)",ost,1,0.078
73,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,gaussian,"(-6, -2)",ost,2,0.048
74,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,gaussian,"(-6, -2)",ost,3,0.052
75,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,gaussian,"(-4, 0)",uniform,1,1.0
76,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,gaussian,"(-4, 0)",uniform,2,0.78
77,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,gaussian,"(-4, 0)",uniform,3,0.004
78,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,gaussian,"(-4, 0)",increasing,1,1.0
79,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,gaussian,"(-4, 0)",increasing,2,0.784
80,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,gaussian,"(-4, 0)",increasing,3,0.008
81,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,gaussian,"(-4, 0)",decreasing,1,1.0
82,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,gaussian,"(-4, 0)",decreasing,2,0.76
83,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,gaussian,"(-4, 0)",decreasing,3,0.004
84,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,gaussian,"(-4, 0)",centred,1,1.0
85,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,gaussian,"(-4, 0)",centred,2,0.874
86,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,gaussian,"(-4, 0)",centred,3,0.014
87,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,gaussian,"(-4, 0)",ost,1,0.104
88,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,gaussian,"(-4, 0)",ost,2,0.05
89,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,gaussian,"(-4, 0)",ost,3,0.04
90,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,gaussian,"(-2, 2)",uniform,1,1.0
91,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,gaussian,"(-2, 2)",uniform,2,0.818
92,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,gaussian,"(-2, 2)",uniform,3,0.014
93,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,gaussian,"(-2, 2)",increasing,1,1.0
94,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,gaussian,"(-2, 2)",increasing,2,0.726
95,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,gaussian,"(-2, 2)",increasing,3,0.014
96,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,gaussian,"(-2, 2)",decreasing,1,1.0
97,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,gaussian,"(-2, 2)",decreasing,2,0.854
98,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,gaussian,"(-2, 2)",decreasing,3,0.022
99,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,gaussian,"(-2, 2)",centred,1,1.0
100,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,gaussian,"(-2, 2)",centred,2,0.82
101,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,gaussian,"(-2, 2)",centred,3,0.016
102,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,gaussian,"(-2, 2)",ost,1,0.18
103,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,gaussian,"(-2, 2)",ost,2,0.074
104,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,gaussian,"(-2, 2)",ost,3,0.048
105,1: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,"(-6, -2)",uniform,1,1.0
106,1: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,"(-6, -2)",uniform,2,0.978
107,1: uniform alternative,1.0,500,500,500,wild bootstrap,laplace,"(-6, -2)",uniform,3,0.242
